SERVIÇO,VALOR DO SERVIÇO,PRODUTO,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,DOCE,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,SALGADO,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,BEBIDA,VALOR DE VENDA,VALOR DE COMPRA,LUCRO,FUNCIONARIO,PORCENTAGEM,FUNCAO,TAXA
Corte+Barba+Pigmentação,"R$ 110,00",Monster Ultra 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Pigmentação,"R$ 130,00",Monster Ultra Paradise 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,,,,,,,,,,,,,
Barba+Pigmentação,"R$ 70,00",Monster Pipeline Punch 473 mL,"R$ 15,00","R$ 9,10","R$ 5,90",,,,,,,,,,,,,,,,
Barba+Sobrancelha+Pigmentação,"R$ 90,00",Gatorade Uva 500 mL,"R$ 10,00","R$ 5,15","R$ 4,85",,,,,,,,,,,,,,,,
Penteado,"R$ 40,00",Gatorade Limão 500 mL,"R$ 10,00","R$ 5,15","R$ 4,85",,,,,,,,,,,,,,,,
Corte+Penteado,"R$ 100,00",Água de Coco Sococo 330 mL,"R$ 12,00","R$ 7,60","R$ 4,40",,,,,,,,,,,,,,,,
Corte+Barba+Penteado,"R$ 130,00",Água de Coco Kero Coco 330 mL,"R$ 10,00","R$ 5,55","R$ 4,45",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Penteado,"R$ 150,00",Água de Coco Kero Coco 200 mL,"R$ 7,00","R$ 3,05","R$ 3,95",,,,,,,,,,,,,,,,
Corte+Hidratação+Penteado,"R$ 140,00",Suco Del Valle Pessêgo 290 mL,"R$ 8,00","R$ 3,55","R$ 4,45",,,,,,,,,,,,,,,,
Corte+Barba+Hidratação+Penteado,"R$ 170,00",Suco Del Valle Manga 290 mL,"R$ 8,00","R$ 3,55","R$ 4,45",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Hidratação+Penteado,"R$ 190,00",Suco Del Valle Goiaba 290 mL,"R$ 8,00","R$ 3,55","R$ 4,45",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Penteado,"R$ 150,00",Bebida Lactea Toddynho 200 mL,"R$ 6,00","R$ 2,59","R$ 3,41",,,,,,,,,,,,,,,,
Corte+Sobrancelha+Hidratação+Penteado,"R$ 160,00",Fanta Uva 350 mL,"R$ 7,00","R$ 2,89","R$ 4,11",,,,,,,,,,,,,,,,
Corte+Sobrancelha+Hidratação,"R$ 120,00",BATATA RUFFLES ORIGINAL 68 G,"R$ 15,00","R$ 8,99","R$ 6,01",,,,,,,,,,,,,,,,
Depilação Nariz,"R$ 30,00",DORITOS 75 G,"R$ 15,00","R$ 8,79","R$ 6,21",,,,,,,,,,,,,,,,
Depilação Orelha,"R$ 30,00",VAZIO,"R$ 0,00","R$ 0,00","R$ 0,00",,,,,,,,,,,,,,,,
Depilação Nariz+Orelha,"R$ 50,00",Shampoo para Barba B.URB 250 mL,"R$ 60,00","R$ 32,75","R$ 27,25",,,,,,,,,,,,,,,,
Corte+Depilação Nariz,"R$ 90,00",BATATA PRINGLES ORIGINAL 104 G,"R$ 15,00","R$ 10,40","R$ 4,60",,,,,,,,,,,,,,,,
Corte+Depilação Orelha,"R$ 90,00",Red Bull Zero 250 mL,"R$ 15,00","R$ 7,99","R$ 7,01",,,,,,,,,,,,,,,,
Corte+Depilação Nariz e Orelha,"R$ 110,00",BATATA PRINGLES CREME DE CEBOLA 104 G,"R$ 15,00","R$ 10,40","R$ 4,60",,,,,,,,,,,,,,,,
Barba+Depilação Nariz,"R$ 80,00",BATATA PRINGLES CHURRASCO 104 G,"R$ 15,00","R$ 10,40","R$ 4,60",,,,,,,,,,,,,,,,
Barba+Depilação Orelha,"R$ 80,00",Monster Mango Loco 473 mL,"R$ 15,00","R$ 10,40","R$ 4,60",,,,,,,,,,,,,,,,
Barba+Depilação Nariz e Orelha,"R$ 100,00",Chá Matte Leão Sabor Limão 450 mL,"R$ 8,00","R$ 3,59","R$ 4,41",,,,,,,,,,,,,,,,
Corte+Barba+Depilação Nariz,"R$ 120,00",BATATA PRINGLES CHEDDAR E BACON 105G,"R$ 15,00","R$ 10,40","R$ 4,60",,,,,,,,,,,,,,,,
Corte+Barba+Depilação Orelha,"R$ 120,00",Guáraviton Ginseing,"R$ 8,00","R$ 4,50","R$ 3,50",,,,,,,,,,,,,,,,
Corte+Barba+Depilação Nariz+Depilação Orelha,"R$ 140,00",Gatorade Laranja 500 mL,"R$ 10,00","R$ 5,15","R$ 4,85",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Depilação Orelha,"R$ 140,00",Monster 473 mL,"R$ 15,00","R$ 10,40","R$ 4,60",,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Depilação Nariz,"R$ 140,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Depilação Nariz+Depilação Orelha,"R$ 160,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial ,"R$ 140,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial,"R$ 160,00",,,,,,,,,,,,,,,,,,,,
Corte+Sobrancelha+Higienização Facial,"R$ 130,00",,,,,,,,,,,,,,,,,,,,
Barba+Sobrancelha+Higienização Facial,"R$ 120,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial+Penteado,"R$ 200,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial+Hidratação,"R$ 190,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial+Luzes,"R$ 240,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial+Penteado,"R$ 160,00",,,,,,,,,,,,,,,,,,,,
Corte+Higienização Facial+Penteado,"R$ 130,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial+Hidratação,"R$ 150,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial+Luzes,"R$ 220,00",,,,,,,,,,,,,,,,,,,,
Corte+Higienização Facial+Luzes,"R$ 190,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial+Depilação Nariz e Orelha,"R$ 190,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial+Depilação Nariz e Orelha,"R$ 210,00",,,,,,,,,,,,,,,,,,,,
Corte+Sobrancelha+Higienização Facial+Depilação Nariz e Orelha,"R$ 170,00",,,,,,,,,,,,,,,,,,,,
Barba+Sobrancelha+Higienização Facial+Depilação Nariz e Orelha,"R$ 130,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial+Penteado+Depilação Nariz e Orelha,"R$ 210,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial+Hidratação+Depilação Nariz e Orelha,"R$ 200,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Higienização Facial+Luzes+Depilação Nariz e Orelha,"R$ 270,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial+Penteado+Depilação Nariz e Orelha,"R$ 190,00",,,,,,,,,,,,,,,,,,,,
Corte+Higienização Facial+Penteado+Depilação Nariz e Orelha,"R$ 160,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial+Hidratação+Depilação Nariz e Orelha,"R$ 180,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Higienização Facial+Luzes+Depilação Nariz e Orelha,"R$ 250,00",,,,,,,,,,,,,,,,,,,,
Corte+Higienização Facial+Luzes+Depilação Nariz e Orelha,"R$ 220,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Luzes,"R$ 260,00",,,,,,,,,,,,,,,,,,,,
Corte+Sobrancelha+Luzes,"R$ 230,00",,,,,,,,,,,,,,,,,,,,
Corte+Barba+Sobrancelha+Platinado,"R$ 360,00",,,,,,,,,,,,,,,,,,,,
Corte+Sobrancelha+Platinado,"R$ 320,00",,,,,,,,,,,,,,,,,,,,
Perfil+Barba+Sobrancelha,"R$ 90,00",,,,,,,,,,,,,,,,,,,,
Corte+Higienização Facial+Alisamento Sódio,"R$ 170,00",,,,,,,,,,,,,,,,,,,,
Barba+Perfil+Depilação Nariz+Depilação Orelha,"R$ 130,00",,,,,,,,,,,,,,,,,,,,
